0|), но также и врачей, священников?..|
0|/ Буря бы грянула, что ли?|
0|≉ ≈ 14 Романс XIX века «Не |уезжай ты, мой голубчик!».
0|≉ ≈“Гляжу за темную вуаль…” // К.|
0|≉ ≈Все мы, люди, немножко “куклы”|… // МП.
0|≉ ≈Кто там сидит за правым?|
0|≉ ≈Спальные районы выполняли функцию разгрузки |исторического центра.
0|≉ ≈Талант – единственная новость // П. 27.4.|
0|≉ ≈Что нам стоит дом построить?|
0|≉ Мне представляется совсем простая штука: ≉ |Хотели кушать – и съели Кука.
0|└Ненужная, ни для чего не |пригодная вещь ┘.≉ ≈Дареному отстою в зубы не смотрят (dropzone).
0|■ ≉ ≈■≉ ≈Пушкин и здесь оказался прав.|
0|А уж дальше – как Бог даст|!
0|БЛОК ≉ ≈“Восторг души первоначальный…” // П. 28.12|.
0|Весь креатив коммунистов – местный” 1 .|
0|Гревс — историк средневековой городской культуры // Городская| культура.
0|И делом – повторю еще раз – смертельно| опасным, нередко гибельным.
0|Наш выход: К истории русского футуризма|.
0|Так звякну, что своих не узнаешь|.
0|≉ ≈└Никулин Лев // ┘Воспоминания о Юрии Олеше|.
0|3 (М. Порк).≉ ≈…И что такое| “плохо” // КП.
0|Горизонт возможностей оставался все еще не |определен.
0|Может быть, это наша национальная особенность?..|
0|Нет, я здесь не о стихах.|
0|Переводы издаются спустя, как правило, несколько |десятилетий после выхода оригиналов.
0|Поэтому Пушкин смотрел исторически, без злобы.|
0|“Белая Лилия” как образец мистерии-буфф.|
0|(5)≉ ≈Палъ а норовъ худъ и |духъ ворона лапъ.
0|≉ ≈Мы говорим – мясник, подразумеваем – пекарь // КП.|
0|≉ ≈У времени в плену // П. 9.9.|
0|Видимо, ко мне “песнопенье” приходит только для| этого – врачевать “болящий дух”.
0|Как выйти из кризиса без гражданской войны| // П. 21.5.
0|М.: Молодая гвардия, 1949; └Бердников Г┘.|
0|Они легко вплывают, влетают в пространство текста|.
0|При открытии всякой мерзости она в восхищении|.
0|≉   ≈А основной мотив неприятия Святой Землей своего поэта, который отчасти реализовался в книге Генделева 2008 года, был предсказан едва ли еще не в Ленинграде и в первой книге поэта “Въезд в Иерусалим”, вышедшей в ТельАвиве в 1979 году: ≉   ≈Когда же все желанья утоля, я обниму тебя, прижмусь к тебе, Земля, любая, снежная, пустыня, белый свет – скажу: земля, я выполнил обет, впусти, Обетованная| Земля!
0|), сделанная Жуковским, — замечает Бабаев, — принадлежит к числу| классических произведений, вышедших из-под его пера <…> Побежденный?
0|≉ ≈Петрушевская никогда не делает различия между миром| небесным и миром земным, более того, между миром сказочным, архаичным, и миром цивилизованным.
0|≉ Теперь от осуждаемых реакций перейдем к их| агентурам.
0|307) вместо “опьянился”, “Покупает └бессмертье ┘волков” (с.|
0|В нем упрекал Шкловского, например, П.Н.|
0|Даже стилевое различие целиком вытекает из различия |масок.
0|Нужны два поколения (сорок лет по пустыне!|
0|Пир — соединение людей в братский круг”15.|
0|СПб., 2003 (6)≉ – └Шевеленко И.┘ Литературный путь| М. Цветаевой.
0|Так и скажите: живет Петр Иванович Бобчинский.|
0|Тогда почему же Пушкин оставил их в |рукописи?
0|≉ ≈Мы разучились просто, мудро жить… // П. 12.7.|
0|«Без страха и сомнения» – цитата из известного стихотворения| А.Н.
0|В отличие от героини “Женитьбы”, автор знал, как |трансформировать несовершенную жизненную ситуацию и реальные исторические события в соответствии с идеологически выверенной и гармонизированной схемой.
0|Легкое скольжение проворных гондол сменяется раздражающим скрипом уключин.|
0|Аналогичные концепции появлялись у радикальных исследователей-психологов 1960-х| годов, занимавшихся изучением применения ЛСД в практике психотерапии.
0|3 октября) в виде письма Пушкина к А.Ф.|
0|Таким образом, икона Бориса и Глеба кажется невербализованным подтекстом |пьесы “Борис Годунов”.
0|В бытовом сознании инопланетяне – это символ абсолютного Иного, максимально удаленный| от человека тип мышления.
0|Некоторых, особо затюканных золотым пером героев даже жалко■— автор, подобно| злому школьнику, показывает товарищам, как долбанулся на физкультуре толстяк.
0|Т. е. мир и теперь не знает, ибо Пушкин| – не передаваем.
0|) словом – “секретари того… ненадежный народ…”, – он получит надлежащее распекание| и скорую смерть.
0|Для Пушкина проблема смерти и утраты любви более не находит |разрешения в экспансивности поэтического дискурса.
0|Причем эти интертекстуальные узы настолько тесны, что в литературных отсылках |тут разобраться достаточно трудно и еще труднее разобрать, когда отсылка носит литературный характер, а когда – нет.
0|А Барон все лежал, уже неподвижно и чуть разомкнув побелевшие губы.|
