в	624221
и	599613
не	227340
с	218959
на	187220
что	163037
быть	159894
как	126991
к	113717
этот	112946
а	112058
то	105859
он	104895
о	101912
который	101009
это	82668
я	81978
по	81023
но	76930
из	73272
год	73011
свой	69220
они	61418
для	60356
от	57292
тот	56595
или	52680
его	52639
же	50951
весь	48959
она	48635
мы	47631
один	44070
так	42594
такой	42238
за	41764
мочь	39172
человек	38023
все	37737
у	37507
другой	36971
время	36218
только	36037
себя	35790
м	34495
бы	33697
новый	33143
становиться	32695
русский	32136
книга	31487
история	28470
автор	28451
сам	28446
самый	27622
первый	26672
жизнь	26607
еще	25494
если	25402
уже	25221
до	24891
текст	23905
советский	23742
россия	23096
слово	22803
при	22407
говорить	22385
во	22377
их	21437
ее	21424
более	21407
образ	21406
политический	21050
даже	20920
мир	20875
когда	20634
литература	20601
можно	20252
ни	19724
г	19623
наш	19354
работа	19323
два	18759
отношение	18699
вопрос	18482
дело	18451
именно	18272
об	18210
статья	18004
между	17696
чтобы	17693
иметь	17618
язык	17318
х	17278
культура	17003
ли	16531
являться	16527
мой	16482
власть	16371
однако	15820
роман	15755
также	15649
оказываться	15531
после	15282
где	15256
общество	15168
под	15152
кто	15099
н	15075
здесь	15070
социальный	15058
сказать	15050
чем	15045
современный	15003
т	14796
случай	14590
со	14509
век	14378
российский	14349
литературный	14276
вы	14251
писать	14214
место	14102
последний	14066
страна	13928
исторический	13926
е	13669
смысл	13576
много	13535
нет	13518
очень	13472
поэт	13414
сторона	13340
лишь	12949
проблема	12929
называть	12922
какой	12563
часть	12416
без	12401
конец	12343
например	12217
представлять	12212
хотя	12212
большой	12085
там	12082
оставаться	12042
общий	11959
л	11930
давать	11875
начало	11698
форма	11664
письмо	11646
идея	11621
писатель	11605
вот	11592
знать	11583
см	11583
друг	11492
должный	11419
раз	11366
иной	11361
второй	11333
война	11163
государство	11154
читатель	11086
герой	10987
идти	10982
система	10793
собственный	10734
понимать	10681
д	10678
несколько	10655
ты	10594
наука	10583
потому	10543
день	10528
сила	10455
речь	10433
главный	10329
город	10210
б	10200
искусство	10145
начинать	10142
каждый	10100
стих	9992
важный	9917
тема	9747
происходить	9692
журнал	9667
некоторый	9600
народ	9590
исследование	9524
просто	9370
культурный	9355
процесс	9316
написать	9207
имя	9139
выходить	9138
право	9110
роль	9093
возможность	9091
разный	9054
тогда	9034
национальный	9026
создавать	9002
принимать	8942
качество	8931
мысль	8919
получать	8904
произведение	8871
вид	8802
материал	8790
высокий	8730
п	8714
видеть	8659
политика	8555
стихотворение	8552
связь	8534
подобный	8488
научный	8447
эпоха	8437
опыт	8429
известный	8390
считать	8376
сделать	8360
москва	8348
событие	8332
через	8325
перевод	8317
приводить	8314
государственный	8310
поэзия	8281
развитие	8271
группа	8252
многий	8234
да	8181
всегда	8174
общественный	8132
над	8084
жить	8059
ситуация	8030
оно	7967
взгляд	7967
делать	7964
существовать	7943
понятие	7869
пример	7868
любой	7832
основной	7807
число	7793
издание	7754
точка	7748
находить	7703
хороший	7666
ссср	7662
почти	7650
конечно	7642
следовать	7575
позволять	7551
перед	7457
память	7453
результат	7443
традиция	7430
возникать	7427
мнение	7338
движение	7286
внимание	7280
интерес	7246
р	7246
мера	7245
ничто	7198
пространство	7173
вполне	7164
казаться	7149
прежде	7141
хотеть	7116
вообще	7113
какой-то	7106
поскольку	7085
лицо	7052
данный	7020
революция	7001
теория	6997
часто	6981
три	6970
смерть	6920
хорошо	6890
теперь	6879
партия	6853
путь	6812
проект	6806
творчество	6802
поэтому	6692
посвящать	6683
уровень	6681
представление	6664
пора	6655
показывать	6651
связывать	6640
прошлое	6564
принцип	6563
труд	6531
тоже	6484
скоро	6456
период	6451
род	6415
